"CA Name"	"Root Certificate"	"SHA-1 Thumbprint"	"SHA-256 Thumbprint"
"AS Sertifitseerimiskeskuse (SK)"	"EE Certification Centre Root CA"	"C9:A8:B9:E7:55:80:5E:58:E3:53:77:A7:25:EB:AF:C3:7B:27:CC:D7"	"3E:84:BA:43:42:90:85:16:E7:75:73:C0:99:2F:09:79:CA:08:4E:46:85:68:1F:F1:95:CC:BA:8A:22:9B:8A:76"
"Asseco Data Systems S.A. (previously Unizeto Certum)"	"Certum CA"	"62:52:DC:40:F7:11:43:A2:2F:DE:9E:F7:34:8E:06:42:51:B1:81:18"	"D8:E0:FE:BC:1D:B2:E3:8D:00:94:0F:37:D2:7D:41:34:4D:99:3E:73:4B:99:D5:65:6D:97:78:D4:D8:14:36:24"
"Asseco Data Systems S.A. (previously Unizeto Certum)"	"Certum Trusted Network CA"	"07:E0:32:E0:20:B7:2C:3F:19:2F:06:28:A2:59:3A:19:A7:0F:06:9E"	"5C:58:46:8D:55:F5:8E:49:7E:74:39:82:D2:B5:00:10:B6:D1:65:37:4A:CF:83:A7:D4:A3:2D:B7:68:C4:40:8E"
"Asseco Data Systems S.A. (previously Unizeto Certum)"	"Certum Trusted Network CA 2"	"D3:DD:48:3E:2B:BF:4C:05:E8:AF:10:F5:FA:76:26:CF:D3:DC:30:92"	"B6:76:F2:ED:DA:E8:77:5C:D3:6C:B0:F6:3C:D1:D4:60:39:61:F4:9E:62:65:BA:01:3A:2F:03:07:B6:D0:B8:04"
"Athens Exchange S.A. (Athex)"	"Athex Root CA"	"DB:2B:7B:43:4D:FB:7F:C1:CB:59:26:EC:5D:95:21:FE:35:0F:F2:79"	"A7:35:63:E8:59:CB:CF:A1:73:CF:32:85:DE:BF:25:78:ED:E1:5D:47:A3:BE:E3:85:86:1A:B7:A4:FB:6D:7B:6E"
"Atos"	"Atos TrustedRoot 2011"	"2B:B1:F5:3E:55:0C:1D:C5:F1:D4:E6:B7:6A:46:4B:55:06:02:AC:21"	"F3:56:BE:A2:44:B7:A9:1E:B3:5D:53:CA:9A:D7:86:4A:CE:01:8E:2D:35:D5:F8:F9:6D:DF:68:A6:F4:1A:A4:74"
"Austrian Society for Data Protection (Arge Daten) (GlobalTrust)"	"Austrian Society for Data Protection GLOBALTRUST Certification Service"	"34:2C:D9:D3:06:2D:A4:8C:34:69:65:29:7F:08:1E:BC:2E:F6:8F:DC"	"5E:35:71:F3:3F:45:A7:DF:15:37:A6:8B:5F:FB:9E:03:6A:F9:D2:F5:BC:4C:97:17:13:0D:C4:3D:71:75:AA:C7"
"Autoridad de Certificación (ANF AC)"	"ANF AC"	"CE:A9:89:0D:85:D8:07:53:A6:26:28:6C:DA:D7:8C:B5:66:D7:0C:F2"	"B6:44:D9:55:FF:F2:9B:74:E3:B5:68:7E:90:8E:E7:C3:C9:19:7B:A3:33:6C:C6:32:85:31:F6:C0:57:D6:77:FD"
"Autoridad de Certificación (ANF AC)"	"ANF Global Root CA"	"5B:B5:99:20:D1:1B:39:14:79:46:3A:DD:51:00:DB:1D:52:F4:3A:D4"	"E0:E1:7A:EA:06:CF:9C:E1:2A:AE:81:90:34:5A:2C:59:72:01:30:A7:D8:FF:72:F3:74:5A:D7:5D:BA:A3:65:B6"
"Autoridad de Certificacion Firmaprofesional"	"Autoridad de Certificacion Firmaprofesional CIF A62634068"	"AE:C5:FB:3F:C8:E1:BF:C4:E5:4F:03:07:5A:9A:E8:00:B7:F7:B6:FA"	"04:04:80:28:BF:1F:28:64:D4:8F:9A:D4:D8:32:94:36:6A:82:88:56:55:3F:3B:14:30:3F:90:14:7F:5D:40:EF"
