"CA Name"	"Root Certificate"	"SHA-1 Thumbprint"	"SHA-256 Thumbprint"
"Dhimyotis / Certigna"	"Certigna"	"B1:2E:13:63:45:86:A4:6F:1A:B2:60:68:37:58:2D:C4:AC:FD:94:97"	"E3:B6:A2:DB:2E:D7:CE:48:84:2F:7A:C5:32:41:C7:B7:1D:54:14:4B:FB:40:C1:1F:3F:1D:0B:42:F5:EE:A1:2D"
"Dhimyotis / Certigna"	"Certigna Root CA"	"2D:0D:52:14:FF:9E:AD:99:24:01:74:20:47:6E:6C:85:27:27:F5:43"	"D4:8D:3D:23:EE:DB:50:A4:59:E5:51:97:60:1C:27:77:4B:9D:7B:18:C9:4D:5A:05:95:11:A1:02:50:B9:31:68"
"DigiCert"	"Baltimore CyberTrust Root"	"D4:DE:20:D0:5E:66:FC:53:FE:1A:50:88:2C:78:DB:28:52:CA:E4:74"	"16:AF:57:A9:F6:76:B0:AB:12:60:95:AA:5E:BA:DE:F2:2A:B3:11:19:D6:44:AC:95:CD:4B:93:DB:F3:F2:6A:EB"
"DigiCert"	"Cybertrust Global Root"	"5F:43:E5:B1:BF:F8:78:8C:AC:1C:C7:CA:4A:9A:C6:22:2B:CC:34:C6"	"96:0A:DF:00:63:E9:63:56:75:0C:29:65:DD:0A:08:67:DA:0B:9C:BD:6E:77:71:4A:EA:FB:23:49:AB:39:3D:A3"
"DigiCert"	"DigiCert"	"A8:98:5D:3A:65:E5:E5:C4:B2:D7:D6:6D:40:C6:DD:2F:B1:9C:54:36"	"43:48:A0:E9:44:4C:78:CB:26:5E:05:8D:5E:89:44:B4:D8:4F:96:62:BD:26:DB:25:7F:89:34:A4:43:C7:01:61"
"DigiCert"	"DigiCert Assured ID Root CA"	"05:63:B8:63:0D:62:D7:5A:BB:C8:AB:1E:4B:DF:B5:A8:99:B2:4D:43"	"3E:90:99:B5:01:5E:8F:48:6C:00:BC:EA:9D:11:1E:E7:21:FA:BA:35:5A:89:BC:F1:DF:69:56:1E:3D:C6:32:5C"
"DigiCert"	"DigiCert Assured ID Root G2"	"A1:4B:48:D9:43:EE:0A:0E:40:90:4F:3C:E0:A4:C0:91:93:51:5D:3F"	"7D:05:EB:B6:82:33:9F:8C:94:51:EE:09:4E:EB:FE:FA:79:53:A1:14:ED:B2:F4:49:49:45:2F:AB:7D:2F:C1:85"
"DigiCert"	"DigiCert Assured ID Root G3"	"F5:17:A2:4F:9A:48:C6:C9:F8:A2:00:26:9F:DC:0F:48:2C:AB:30:89"	"7E:37:CB:8B:4C:47:09:0C:AB:36:55:1B:A6:F4:5D:B8:40:68:0F:BA:16:6A:95:2D:B1:00:71:7F:43:05:3F:C2"
"DigiCert"	"DigiCert Global Root G2"	"DF:3C:24:F9:BF:D6:66:76:1B:26:80:73:FE:06:D1:CC:8D:4F:82:A4"	"CB:3C:CB:B7:60:31:E5:E0:13:8F:8D:D3:9A:23:F9:DE:47:FF:C3:5E:43:C1:14:4C:EA:27:D4:6A:5A:B1:CB:5F"
"DigiCert"	"DigiCert Global Root G3"	"7E:04:DE:89:6A:3E:66:6D:00:E6:87:D3:3F:FA:D9:3B:E8:3D:34:9E"	"31:AD:66:48:F8:10:41:38:C7:38:F3:9E:A4:32:01:33:39:3E:3A:18:CC:02:29:6E:F9:7C:2A:C9:EF:67:31:D0"
"DigiCert"	"DigiCert High Assurance EV Root CA"	"5F:B7:EE:06:33:E2:59:DB:AD:0C:4C:9A:E6:D3:8F:1A:61:C7:DC:25"	"74:31:E5:F4:C3:C1:CE:46:90:77:4F:0B:61:E0:54:40:88:3B:A9:A0:1E:D0:0B:A6:AB:D7:80:6E:D3:B1:18:CF"
"DigiCert"	"DigiCert Trusted Root G4"	"DD:FB:16:CD:49:31:C9:73:A2:03:7D:3F:C8:3A:4D:7D:77:5D:05:E4"	"55:2F:7B:DC:F1:A7:AF:9E:6C:E6:72:01:7F:4F:12:AB:F7:72:40:C7:8E:76:1A:C2:03:D1:D9:D2:0A:C8:99:88"
"DigiCert"	"Hotspot 2.0 Trust Root CA – 03"	"51:50:1F:BF:CE:69:18:9D:60:9C:FA:F1:40:C5:76:75:5D:CC:1F:DF"	"A3:CC:68:59:5D:FE:7E:86:D8:AD:17:72:A8:B5:28:4A:DD:54:AC:E3:B8:A7:98:DF:47:BC:CA:FB:1F:DB:84:DF"
"DigiCert"	"Verizon Global Root CA"	"91:21:98:EE:F2:3D:CA:C4:09:39:31:2F:EE:97:DD:56:0B:AE:49:B1"	"68:AD:50:90:9B:04:36:3C:60:5E:F1:35:81:A9:39:FF:2C:96:37:2E:3F:12:32:5B:0A:68:61:E1:D5:9F:66:03"
"Digidentity BV **"	"Digidentity BV"	"F1:38:A3:30:A4:EA:98:6B:EB:52:0B:B1:10:35:87:6E:FB:9D:7F:1C"	"41:7D:CF:31:80:F4:ED:1A:37:47:AC:F1:17:93:16:CD:48:CB:05:C5:78:84:35:16:8A:ED:98:C9:8C:DC:B6:15"
"DocuSign (OpenTrust/Keynectis)"	"CertPlus Class 3 Primary CA"	"D2:ED:F8:8B:41:B6:FE:01:46:1D:6E:28:34:EC:7C:8F:6C:77:72:1E"	"C1:B1:2F:48:00:20:33:6E:5B:04:F5:20:BC:19:C2:E2:E1:0A:B4:2C:9D:92:35:F0:5C:BE:C3:3F:FA:4D:4D:EA"
"DocuSign (OpenTrust/Keynectis)"	"CertPlus Class 3P Primary CA"	"21:6B:2A:29:E6:2A:00:CE:82:01:46:D8:24:41:41:B9:25:11:B2:79"	"CC:C8:94:89:37:1B:AD:11:1C:90:61:9B:EA:24:0A:2E:6D:AD:D9:9F:9F:6E:1D:4D:41:E5:8E:D6:DE:3D:02:85"
"DocuSign (OpenTrust/Keynectis)"	"CertPlus Class 3TS Primary CA"	"F4:40:95:C2:38:AC:73:FC:4F:77:BF:8F:98:DF:70:F8:F0:91:BC:52"	"CE:7D:D0:96:C8:FD:E2:BF:5C:43:8E:DB:57:4B:D6:45:43:85:33:4E:E8:FF:10:6C:0F:93:D5:05:1B:E6:BA:C3"
"DocuSign (OpenTrust/Keynectis)"	"Certplus Root CA G1"	"22:FD:D0:B7:FD:A2:4E:0D:AC:49:2C:A0:AC:A6:7B:6A:1F:E3:F7:66"	"15:2A:40:2B:FC:DF:2C:D5:48:05:4D:22:75:B3:9C:7F:CA:3E:C0:97:80:78:B0:F0:EA:76:E5:61:A6:C7:43:3E"
"DocuSign (OpenTrust/Keynectis)"	"Certplus Root CA G2"	"4F:65:8E:1F:E9:06:D8:28:02:E9:54:47:41:C9:54:25:5D:69:CC:1A"	"6C:C0:50:41:E6:44:5E:74:69:6C:4C:FB:C9:F8:0F:54:3B:7E:AB:BB:44:B4:CE:6F:78:7C:6A:99:71:C4:2F:17"
"DocuSign (OpenTrust/Keynectis)"	"Class 2 Primary CA"	"74:20:74:41:72:9C:DD:92:EC:79:31:D8:23:10:8D:C2:81:92:E2:BB"	"0F:99:3C:8A:EF:97:BA:AF:56:87:14:0E:D5:9A:D1:82:1B:B4:AF:AC:F0:AA:9A:58:B5:D5:7A:33:8A:3A:FB:CB"
"DocuSign (OpenTrust/Keynectis)"	"KEYNECTSIS ROOT CA"	"9C:61:5C:4D:4D:85:10:3A:53:26:C2:4D:BA:EA:E4:A2:D2:D5:CC:97"	"42:10:F1:99:49:9A:9A:C3:3C:8D:E0:2B:A6:DB:AA:14:40:8B:DD:8A:6E:32:46:89:C1:92:2D:06:97:15:A3:32"
"DocuSign (OpenTrust/Keynectis)"	"OpenTrust Root CA G1"	"79:91:E8:34:F7:E2:EE:DD:08:95:01:52:E9:55:2D:14:E9:58:D5:7E"	"56:C7:71:28:D9:8C:18:D9:1B:4C:FD:FF:BC:25:EE:91:03:D4:75:8E:A2:AB:AD:82:6A:90:F3:45:7D:46:0E:B4"
"DocuSign (OpenTrust/Keynectis)"	"OpenTrust Root CA G2"	"79:5F:88:60:C5:AB:7C:3D:92:E6:CB:F4:8D:E1:45:CD:11:EF:60:0B"	"27:99:58:29:FE:6A:75:15:C1:BF:E8:48:F9:C4:76:1D:B1:6C:22:59:29:25:7B:F4:0D:08:94:F2:9E:A8:BA:F2"
"DocuSign (OpenTrust/Keynectis)"	"OpenTrust Root CA G3"	"6E:26:64:F3:56:BF:34:55:BF:D1:93:3F:7C:01:DE:D8:13:DA:8A:A6"	"B7:C3:62:31:70:6E:81:07:8C:36:7C:B8:96:19:8F:1E:32:08:DD:92:69:49:DD:8F:57:09:A4:10:F7:5B:62:92"
"e-tugra"	"E-Tugra Certification Authority"	"51:C6:E7:08:49:06:6E:F3:92:D4:5C:A0:0D:6D:A3:62:8F:C3:52:39"	"B0:BF:D5:2B:B0:D7:D9:BD:92:BF:5D:4D:C1:3D:A2:55:C0:2C:54:2F:37:83:65:EA:89:39:11:F5:5E:55:F2:3C"
"Echoworx"	"Echoworx Root CA2"	"CB:65:82:64:EA:8C:DA:18:6E:17:52:FB:52:C3:97:36:7E:A3:87:BE"	"66:39:D1:3C:AB:85:DF:1A:D9:A2:3C:44:3B:3A:60:90:1E:2B:13:8D:45:6F:A7:11:83:57:81:08:88:4E:C6:BF"
"EDICOM"	"ACEDICOM Root"	"E0:B4:32:2E:B2:F6:A5:68:B6:54:53:84:48:18:4A:50:36:87:43:84"	"03:95:0F:B4:9A:53:1F:3E:19:91:94:23:98:DF:A9:E0:EA:32:D7:BA:1C:DD:9B:C8:5D:B5:7E:D9:40:0B:43:4A"
"EDICOM"	"CAEDICOM ROOT"	"55:9B:BA:7B:0F:FE:80:D6:D3:82:9B:1F:D0:7A:A4:D3:22:19:47:90"	"15:01:F8:9C:5C:4D:CF:36:CF:58:8A:17:C9:FD:7C:FC:EB:9E:E0:1E:87:29:BE:35:5E:25:DE:80:EB:62:84:B4"
"Entrust"	"Entrust Root Certification Authority"	"B3:1E:B1:B7:40:E3:6C:84:02:DA:DC:37:D4:4D:F5:D4:67:49:52:F9"	"73:C1:76:43:4F:1B:C6:D5:AD:F4:5B:0E:76:E7:27:28:7C:8D:E5:76:16:C1:E6:E6:14:1A:2B:2C:BC:7D:8E:4C"
"Entrust"	"Entrust Root Certification Authority - EC1"	"20:D8:06:40:DF:9B:25:F5:12:25:3A:11:EA:F7:59:8A:EB:14:B5:47"	"02:ED:0E:B2:8C:14:DA:45:16:5C:56:67:91:70:0D:64:51:D7:FB:56:F0:B2:AB:1D:3B:8E:B0:70:E5:6E:DF:F5"
"Entrust"	"Entrust.net"	"8C:F4:27:FD:79:0C:3A:D1:66:06:8D:E8:1E:57:EF:BB:93:22:72:D4"	"43:DF:57:74:B0:3E:7F:EF:5F:E4:0D:93:1A:7B:ED:F1:BB:2E:6B:42:73:8C:4E:6D:38:41:10:3D:3A:A7:F3:39"
"Entrust"	"Entrust.net Certification Authority (2048)"	"50:30:06:09:1D:97:D4:F5:AE:39:F7:CB:E7:92:7D:7D:65:2D:34:31"	"6D:C4:71:72:E0:1C:BC:B0:BF:62:58:0D:89:5F:E2:B8:AC:9A:D4:F8:73:80:1E:0C:10:B9:C8:37:D2:1E:B1:77"
"Entrust"	"Trend Micro 1"	"29:36:21:02:8B:20:ED:02:F5:66:C5:32:D1:D6:ED:90:9F:45:00:2F"	"0A:81:EC:5A:92:97:77:F1:45:90:4A:F3:8D:5D:50:9F:66:B5:E2:C5:8F:CD:B5:31:05:8B:0E:17:F3:F0:B4:1B"
"Entrust"	"Trend Micro 2"	"B8:23:6B:00:2F:1D:16:86:53:01:55:6C:11:A4:37:CA:EB:FF:C3:BB"	"BD:71:FD:F6:DA:97:E4:CF:62:D1:64:7A:DD:25:81:B0:7D:79:AD:F8:39:7E:B4:EC:BA:9C:5E:84:88:82:14:23"
"Entrust"	"Trend Micro 3"	"D8:A6:33:2C:E0:03:6F:B1:85:F6:63:4F:7D:6A:06:65:26:32:28:27"	"70:A7:3F:7F:37:6B:60:07:42:48:90:45:34:B1:14:82:D5:BF:0E:69:8E:CC:49:8D:F5:25:77:EB:F2:E9:3B:9A"
"Entrust"	"Trend Micro 4"	"F9:B5:B6:32:45:5F:9C:BE:EC:57:5F:80:DC:E9:6E:2C:C7:B2:78:B7"	"03:76:AB:1D:54:C5:F9:80:3C:E4:B2:E2:01:A0:EE:7E:EF:7B:57:B6:36:E8:A9:3C:9B:8D:48:60:C9:6F:5F:A7"
"Global Digital Cybersecurity Authority Co., Ltd. (Formerly Guang Dong Certificate Authority (GDCA))"	"GDCA TrustAUTH R5 ROOT"	"0F:36:38:5B:81:1A:25:C3:9B:31:4E:83:CA:E9:34:66:70:CC:74:B4"	"BF:FF:8F:D0:44:33:48:7D:6A:8A:A6:0C:1A:29:76:7A:9F:C2:BB:B0:5E:42:0F:71:3A:13:B9:92:89:1D:38:93"
"GlobalSign"	"GlobalSign ECC Root CA - R5"	"1F:24:C6:30:CD:A4:18:EF:20:69:FF:AD:4F:DD:5F:46:3A:1B:69:AA"	"17:9F:BC:14:8A:3D:D0:0F:D2:4E:A1:34:58:CC:43:BF:A7:F5:9C:81:82:D7:83:A5:13:F6:EB:EC:10:0C:89:24"
"GlobalSign"	"GlobalSign Root CA"	"B1:BC:96:8B:D4:F4:9D:62:2A:A8:9A:81:F2:15:01:52:A4:1D:82:9C"	"EB:D4:10:40:E4:BB:3E:C7:42:C9:E3:81:D3:1E:F2:A4:1A:48:B6:68:5C:96:E7:CE:F3:C1:DF:6C:D4:33:1C:99"
"GlobalSign"	"GlobalSign Root CA - R3"	"D6:9B:56:11:48:F0:1C:77:C5:45:78:C1:09:26:DF:5B:85:69:76:AD"	"CB:B5:22:D7:B7:F1:27:AD:6A:01:13:86:5B:DF:1C:D4:10:2E:7D:07:59:AF:63:5A:7C:F4:72:0D:C9:63:C5:3B"
"GlobalSign"	"GlobalSign Root CA - R6"	"80:94:64:0E:B5:A7:A1:CA:11:9C:1F:DD:D5:9F:81:02:63:A7:FB:D1"	"2C:AB:EA:FE:37:D0:6C:A2:2A:BA:73:91:C0:03:3D:25:98:29:52:C4:53:64:73:49:76:3A:3A:B5:AD:6C:CF:69"
"GoDaddy"	"Go Daddy Class 2 CA"	"27:96:BA:E6:3F:18:01:E2:77:26:1B:A0:D7:77:70:02:8F:20:EE:E4"	"C3:84:6B:F2:4B:9E:93:CA:64:27:4C:0E:C6:7C:1E:CC:5E:02:4F:FC:AC:D2:D7:40:19:35:0E:81:FE:54:6A:E4"
"GoDaddy"	"Go Daddy Root Certificate Authority - G2"	"47:BE:AB:C9:22:EA:E8:0E:78:78:34:62:A7:9F:45:C2:54:FD:E6:8B"	"45:14:0B:32:47:EB:9C:C8:C5:B4:F0:D7:B5:30:91:F7:32:92:08:9E:6E:5A:63:E2:74:9D:D3:AC:A9:19:8E:DA"
"GoDaddy"	"Starfield Class 2 CA"	"AD:7E:1C:28:B0:64:EF:8F:60:03:40:20:14:C3:D0:E3:37:0E:B5:8A"	"14:65:FA:20:53:97:B8:76:FA:A6:F0:A9:95:8E:55:90:E4:0F:CC:7F:AA:4F:B7:C2:C8:67:75:21:FB:5F:B6:58"
"GoDaddy"	"Starfield Root Certificate Authority - G2"	"B5:1C:06:7C:EE:2B:0C:3D:F8:55:AB:2D:92:F4:FE:39:D4:E7:0F:0E"	"2C:E1:CB:0B:F9:D2:F9:E1:02:99:3F:BE:21:51:52:C3:B2:DD:0C:AB:DE:1C:68:E5:31:9B:83:91:54:DB:B7:F5"
"GoDaddy"	"Starfield Technologies Inc."	"5D:00:38:60:F0:02:ED:82:9D:EA:A4:18:68:F7:88:18:6D:62:12:7F"	"B5:BD:2C:B7:9C:BD:19:07:29:8D:6B:DF:48:42:E5:16:D8:C7:8F:A6:FC:96:D2:5F:71:AF:81:4E:16:CC:24:5E"
"Google Trust Services (GTS)"	"GlobalSign ECC Root CA - R4"	"69:69:56:2E:40:80:F4:24:A1:E7:19:9F:14:BA:F3:EE:58:AB:6A:BB"	"BE:C9:49:11:C2:95:56:76:DB:6C:0A:55:09:86:D7:6E:3B:A0:05:66:7C:44:2C:97:62:B4:FB:B7:73:DE:22:8C"
"Google Trust Services (GTS)"	"GlobalSign Root CA - R2"	"75:E0:AB:B6:13:85:12:27:1C:04:F8:5F:DD:DE:38:E4:B7:24:2E:FE"	"CA:42:DD:41:74:5F:D0:B8:1E:B9:02:36:2C:F9:D8:BF:71:9D:A1:BD:1B:1E:FC:94:6F:5B:4C:99:F4:2C:1B:9E"
"Government of Australia"	"Australian Defence Organisation (ADO) Certificate Authority 02"	"84:42:9D:9F:E2:E7:3A:0D:C8:AA:0A:E0:A9:02:F2:74:99:33:FE:02"	"6C:CF:D3:02:FC:44:BF:45:99:32:9B:97:50:87:8E:A4:4E:7E:85:66:56:4B:CB:D5:86:16:97:62:DD:10:C7:4E"
"Government of Australia"	"Australian Defence Public Root CA"	"A9:CA:FE:9D:FD:67:F4:14:5A:D3:97:D0:E2:F3:05:0D:19:8D:E6:EE"	"20:9E:95:6A:F0:4D:F3:99:65:07:C8:87:D3:56:23:0D:6E:B4:9F:DB:DD:2D:8A:05:8F:F5:0B:8F:80:F6:90:AA"
"Government of Brazil, Instituto Nacional de Tecnologia da Informação (ITI)"	"Autoridade Certificadora da Raiz Brasileira v1 - ICP-Brasil"	"70:5D:2B:45:65:C7:04:7A:54:06:94:A7:9A:F7:AB:B8:42:BD:C1:61"	"CB:D8:ED:38:D4:A2:D6:77:D4:53:D7:0D:D8:89:0A:F4:F6:37:4C:BA:62:99:94:3F:1A:B3:A6:93:6C:6F:D7:95"
"Government of Brazil, Instituto Nacional de Tecnologia da Informação (ITI)"	"Autoridade Certificadora Raiz Brasileira v2"	"A9:82:2E:6C:69:33:C6:3C:14:8C:2D:CA:A4:4A:5C:F1:AA:D2:C4:2E"	"FB:47:D9:2A:99:09:FD:4F:A9:BE:C0:27:37:54:3E:1F:35:14:CE:D7:47:40:7A:8D:9C:FA:39:7B:09:15:06:7C"
"Government of Finland, Population Register Centre’s (Väestörekisterikeskus, VRK)"	"VRK Gov. Root CA"	"FA:A7:D9:FB:31:B7:46:F2:00:A8:5E:65:79:76:13:D8:16:E0:63:B5"	"F0:08:73:3E:C5:00:DC:49:87:63:CC:92:64:C6:FC:EA:40:EC:22:00:0E:92:7D:05:3C:E9:C9:0B:FA:04:6C:B2"
"Government of France (ANSSI, DCSSI)"	"IGC/A AC racine Etat francais"	"1A:C9:2F:09:EA:89:E2:8B:12:6D:FA:C5:1E:3A:F7:EA:90:95:A3:EE"	"1E:1A:69:84:B4:E7:6B:D7:09:AE:E3:E9:C9:CF:31:18:EA:C0:96:DA:B9:CC:20:DC:25:FA:AB:67:29:7E:96:5A"
"Government of France (ANSSI, DCSSI)"	"Secrétariat Général de la Défense Nationale"	"60:D6:89:74:B5:C2:65:9E:8A:0F:C1:88:7C:88:D2:46:69:1B:18:2C"	"B9:BE:A7:86:0A:96:2E:A3:61:1D:AB:97:AB:6D:A3:E2:1C:10:68:B9:7D:55:57:5E:D0:E1:12:79:C1:1C:89:32"
"Government of Hong Kong (SAR), Hongkong Post, Certizen"	"Hongkong Post Root CA 1"	"D6:DA:A8:20:8D:09:D2:15:4D:24:B5:2F:CB:34:6E:B2:58:B2:8A:58"	"F9:E6:7D:33:6C:51:00:2A:C0:54:C6:32:02:2D:66:DD:A2:E7:E3:FF:F1:0A:D0:61:ED:31:D8:BB:B4:10:CF:B2"
"Government of Hungary"	"Fotanúsítványkiadó - Kormányzati Hitelesítés Szolgáltató"	"FF:B7:E0:8F:66:E1:D0:C2:58:2F:02:45:C4:97:02:92:A4:6E:88:03"	"C2:15:73:09:D9:AE:E1:7B:F3:4F:4D:F5:E8:8D:BA:EB:A5:7E:03:61:EB:81:4C:BC:23:9F:4D:54:D3:29:A3:8D"
"Government of India, Ministry of Communications & Information Technology, Controller of Certifying Authorities (CCA)"	"CCA India 2014"	"A2:B8:6B:5A:68:D9:28:19:D9:CE:5D:D6:D7:96:9A:49:68:E1:19:91"	"60:10:9B:C6:C3:83:28:59:8A:11:2C:7A:25:E3:8B:0F:23:E5:A7:51:1C:B8:15:FB:64:E0:C4:FF:05:DB:7D:F7"
"Government of India, Ministry of Communications & Information Technology, Controller of Certifying Authorities (CCA)"	"CCA India 2015"	"3B:C6:DC:E0:03:07:BD:67:60:41:EB:D8:59:70:C6:2F:8F:DA:51:09"	"C3:4C:5D:F5:30:80:07:8F:FE:45:B2:1A:7F:60:04:69:91:72:04:F4:F0:29:3F:1D:72:09:39:3E:52:65:C0:4F"
"Government of Japan, Ministry of Internal Affairs and Communications"	"GPKI ApplicationCA2 Root"	"F0:0F:C3:7D:6A:1C:92:61:FB:6B:C1:C2:18:49:8C:5A:A4:DC:51:FB"	"12:6B:F0:1C:10:94:D2:F0:CA:2E:35:23:80:B3:C7:24:29:45:46:CC:C6:55:97:BE:F7:F1:2D:8A:17:1F:19:84"
"Government of Korea, Ministry of the Interior"	"GPKIRootCA1"	"76:12:ED:9E:49:B3:65:B4:DA:D3:12:0C:01:E6:03:74:8D:AE:8C:F0"	"40:7C:27:6B:EA:D2:E4:AF:06:61:EF:66:97:34:1D:EC:0A:1F:94:34:E4:EA:FB:2D:3D:32:A9:05:49:D9:DE:4A"
"Government of Latvia, Latvian State Radio & Television Centre (LVRTC)"	"E-ME SSI (RCA)"	"C9:32:1D:E6:B5:A8:26:66:CF:69:71:A1:8A:56:F2:D3:A8:67:56:02"	"CD:0B:3B:2A:A1:74:B5:5F:18:C7:50:2F:3C:3A:76:F2:19:81:75:CE:45:63:73:70:CF:4F:48:B9:C2:CE:4F:BF"
"Government of Latvia, Latvian State Radio & Television Centre (LVRTC)"	"VAS Latvijas Pasts SSI(RCA)"	"08:64:18:E9:06:CE:E8:9C:23:53:B6:E2:7F:BD:9E:74:39:F7:63:16"	"AA:D9:CE:ED:5A:A6:B1:CE:A2:85:96:A8:E4:E1:AB:ED:93:86:D6:EB:C9:D4:AA:D9:AC:DE:0F:A3:6B:A0:69:D0"
"Government of Lithuania, Registru Centras"	"VI Registru Centras"	"97:1D:34:86:FC:1E:8E:63:15:F7:C6:F2:E1:29:67:C7:24:34:22:14"	"05:36:80:1F:BB:44:3B:3E:90:5F:D6:D7:0D:8C:81:EB:88:55:1B:E8:06:12:99:11:0D:2B:4F:82:E6:4C:AD:E1"
"Government of Portugal, Sistema de Certificação Electrónica do Estado (SCEE) / Electronic Certification System of the State"	"ECRaizEstado"	"39:13:85:3E:45:C4:39:A2:DA:71:8C:DF:B6:F3:E0:33:E0:4F:EE:71"	"48:8E:13:4F:30:C5:DB:56:B7:64:73:E6:08:08:68:42:BF:21:AF:8A:B3:CD:7A:C6:7E:BD:F1:25:D5:31:83:4E"
"Government of Saudi Arabia, NCDC"	"Saudi National Root CA"	"83:51:50:9B:7D:F8:CF:E8:7B:AE:62:AE:B9:B0:3A:52:F4:E6:2C:79"	"34:BB:34:E1:4F:AE:D0:D3:39:2F:2F:C4:41:C0:EC:D5:FD:88:AD:88:11:8D:F2:D1:BA:76:CD:EC:1E:EA:10:B8"
"Government of Slovenia"	"SI-TRUST Root"	"3A:49:79:B4:0F:A8:41:48:82:00:B5:82:FB:EE:B6:3A:AB:99:19:AE"	"FA:D5:40:81:1A:FA:E0:DC:76:7C:DF:65:72:A0:88:FA:3C:E8:49:3D:D8:2B:3B:86:9A:67:D1:0A:AB:4E:81:24"
"Government of South Africa, Post Office Trust Centre"	"SAPO Class 2 Root CA"	"E4:55:01:60:8A:A1:EF:89:E2:7B:8C:D3:C3:B3:4C:03:B0:38:E6:D7"	"FD:7C:CA:48:B7:45:21:34:70:F5:03:EC:6E:96:9C:44:7F:C1:2D:4D:D5:AA:2A:7C:C6:C3:D5:AB:BD:96:2B:33"
"Government of South Africa, Post Office Trust Centre"	"SAPO Class 3 Root CA"	"38:DD:76:59:C7:35:10:0B:00:A2:37:E4:91:B7:BC:0F:FC:D2:31:6C"	"1A:25:12:CD:A6:74:4A:BE:A1:14:32:A2:FD:C9:F8:C0:88:DB:5A:98:C8:9E:13:35:25:74:CD:E4:D9:E8:0C:DD"
"Government of South Africa, Post Office Trust Centre"	"SAPO Class 4 Root CA"	"20:A8:F5:FF:C4:3A:F4:A9:BC:89:88:1E:BF:99:20:FF:91:E9:FD:0A"	"6E:D9:9F:7D:1B:56:2E:46:4A:03:2C:86:1D:BB:41:37:80:53:77:FA:7F:56:83:F0:D4:DA:99:2B:41:30:6A:6C"
"Government of Spain, Autoritat de Certificació de la Comunitat Valenciana (ACCV)"	"ACCVRAIZ1"	"93:05:7A:88:15:C6:4F:CE:88:2F:FA:91:16:52:28:78:BC:53:64:17"	"9A:6E:C0:12:E1:A7:DA:9D:BE:34:19:4D:47:8A:D7:C0:DB:18:22:FB:07:1D:F1:29:81:49:6E:D1:04:38:41:13"
"Government of Spain, Dirección General de la Policía – Ministerio del Interior – España."	"DIRECCION GENERAL DE LA POLICIA"	"B3:8F:EC:EC:0B:14:8A:A6:86:C3:D0:0F:01:EC:C8:84:8E:80:85:EB"	"73:97:10:C5:24:5E:33:EC:8A:24:3A:1B:20:04:8F:C9:D5:F4:52:85:99:21:38:45:C1:64:D0:04:B8:B6:67:F9"
"Government of Spain, Fábrica Nacional de Moneda y Timbre (FNMT)"	"AC RAIZ FNMT-RCM"	"B8:65:13:0B:ED:CA:38:D2:7F:69:92:94:20:77:0B:ED:86:EF:BC:10"	"4D:9E:BB:28:82:5C:96:43:AB:15:D5:4E:5F:96:14:F1:3C:B3:E9:5D:E3:CF:4E:AC:97:13:01:F3:20:F9:22:6E"
"Government of Spain, Fábrica Nacional de Moneda y Timbre (FNMT)"	"Fabrica Nacional de Moneda y Timbre"	"43:F9:B1:10:D5:BA:FD:48:22:52:31:B0:D0:08:2B:37:2F:EF:9A:54"	"62:B9:26:72:66:21:28:32:A8:E2:2D:AB:93:3D:91:C7:01:12:74:AC:F7:17:03:F9:CC:97:83:37:51:A6:E9:4F"
"Government of Spain, Ministerio de Trabajo e Inmigración (MTIN)"	"AC1 RAIZ MTIN"	"6A:D2:3B:9D:C4:8E:37:5F:85:9A:D9:CA:B5:85:32:5C:23:89:40:71"	"5B:1D:9D:24:DE:0A:FE:A8:B3:5B:A0:4A:1C:3E:25:D0:81:2C:DF:7C:46:25:DE:0A:89:AF:9F:E4:BB:D1:BB:15"
"Government of Sweden (Försäkringskassan)"	"Swedish Government Root Authority v1"	"11:E1:9B:BC:74:7B:1A:ED:0D:B8:33:C9:4C:AC:6C:3F:85:BD:EB:DB"	"F6:57:A6:33:EE:B9:BC:5D:15:A4:61:75:17:49:EA:4B:31:67:27:DC:F1:A9:F9:86:B5:45:84:45:F6:48:5D:DE"
"Government of Sweden (Försäkringskassan)"	"Swedish Government Root Authority v3"	"74:6F:88:F9:AC:16:3C:53:00:9E:EF:92:0C:40:67:75:6A:15:71:7E"	"8F:9A:DB:6D:89:5D:AB:5A:DF:5C:3D:3F:AB:83:92:7B:E0:FB:64:EF:82:48:5C:62:28:0D:58:4E:8B:D5:5D:22"
"Government of Taiwan, Government Root Certification Authority (GRCA)"	"TW Government Root Certification Authority"	"F4:8B:11:BF:DE:AB:BE:94:54:20:71:E6:41:DE:6B:BE:88:2B:40:B9"	"76:00:29:5E:EF:E8:5B:9E:1F:D6:24:DB:76:06:2A:AA:AE:59:81:8A:54:D2:77:4C:D4:C0:B2:C0:11:31:E1:B3"
"Government of Taiwan, Government Root Certification Authority (GRCA)"	"TW Government Root Certification Authority 2"	"B0:91:AA:91:38:47:F3:13:D7:27:BC:EF:C8:17:9F:08:6F:3A:8C:0F"	"70:B9:22:BF:DA:0E:3F:4A:34:2E:4E:E2:2D:57:9A:E5:98:D0:71:CC:5E:C9:C3:0F:12:36:80:34:03:88:AE:A5"
